tweet_text,tweet_id,tweet_emotion,created_at
"An  exciting new  development in  ArtificialInteligence  technologies could pave the way for an automated diabetes kits , which could go a long way to help in the day to day  treatment of  diabetes ! Read about this exciting technology .",1237366067586043904,excitement,Tue Mar 10 13:13:54 +0000 2020
Ready for another exciting phonics lesson,1237355928057532418,excitement,Tue Mar 10 12:33:36 +0000 2020
"It was an  amazing ,  exciting  amp ;  awesome  conference this year we had  nullcon2020 , met a lot amount friends  amp ; colleagu…",1237352070518173697,excitement,Tue Mar 10 12:18:17 +0000 2020
1 million and counting ! 👏  electric  zerocarbon  exciting  transitiontoelectric ⚡⚡⚡…,1237347229909880833,excitement,Tue Mar 10 11:59:03 +0000 2020
1 million and counting ! 👏  electric  zerocarbon  exciting  transitiontoelectric ⚡⚡⚡,1237347049168867329,excitement,Tue Mar 10 11:58:19 +0000 2020
 Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot .  exciting  action  thriller  adven…,1237345977465520133,excitement,Tue Mar 10 11:54:04 +0000 2020
Are you looking for a new adventure ?  Lincoln  College are  recruiting a  Lecturer in  Policing to join our team ! This is an  exciting new collaborative training venture with  Lincolnshire  Police and  G4S ! Find out more information here :,1237333192430047233,excitement,Tue Mar 10 11:03:16 +0000 2020
9 more  exciting photos just added ! ! !,1237326814172848129,excitement,Tue Mar 10 10:37:55 +0000 2020
do not forget to check out my  exciting photography ! ! !,1237323807188279296,excitement,Tue Mar 10 10:25:58 +0000 2020
Let day 2 commence !,1237317791507714048,excitement,Tue Mar 10 10:02:04 +0000 2020
Fantastic look  amp ; feel to this years  digifest20 👏👏👏👏,1237314900231442432,excitement,Tue Mar 10 09:50:35 +0000 2020
No time to  read longwinded  novels ? This mini  novel with a fastpaced and  exciting  plot would be perfect for impatient and timestarved  readers . I finished it within  hours and will not mind picking up another .,1237314230061162497,excitement,Tue Mar 10 09:47:55 +0000 2020
101 Followers ! Thanks  XDB army ! To the 200 we go !,1237313373890588672,excitement,Tue Mar 10 09:44:31 +0000 2020
"Fell over yesterday morning and hurt my knees pretty badly . In the past I would have wondered why so much blood , fluid , swelling and pain . Now as a student nurse I am excited to see the stages of healing happening on myself !",1237304423212298240,excitement,Tue Mar 10 09:08:57 +0000 2020
Sharing this with year one this morning,1237292323010215936,excitement,Tue Mar 10 08:20:52 +0000 2020
Check out my  exciting local  photography ! !,1237274970818043905,excitement,Tue Mar 10 07:11:55 +0000 2020
We are gathered in the Pugin room to find out lots of information,1237274603548020736,excitement,Tue Mar 10 07:10:27 +0000 2020
"Our first session completed ✔️as we journey as a ‘ Research School ’ . Time to engage in Professional Dialogue , time to stop , ✋🏻 discuss  amp ; reflect within our own schools too  amp ; map our journey forward",1237260919111114752,excitement,Tue Mar 10 06:16:04 +0000 2020
 exciting new photos just added ! ! ! !,1237257707469582336,excitement,Tue Mar 10 06:03:19 +0000 2020
Play Mega888 ? Like and share to claim your bonus here with ! Who likes it ? WOW,1237242101341065216,excitement,Tue Mar 10 05:01:18 +0000 2020
A new post from first Twitter .,1237204822018818048,excitement,Tue Mar 10 02:33:10 +0000 2020
 WOW This is  exciting or  WHAT !  Go go,1237204224984801280,excitement,Tue Mar 10 02:30:48 +0000 2020
Hearing stories about Gordie Howe ...  exciting !,1237182732968644608,excitement,Tue Mar 10 01:05:23 +0000 2020
"Mine . He has blocked me . You know like you keep doing . Then appearing back . It was different this time , your account was suspended or something and then appeared again under this new title .",1237138272264040460,excitement,Mon Mar 09 22:08:43 +0000 2020
"This SATURDAY , at 9:00 am PDT . The first look at my new film  A Spark In Nothing  premieres on YouTube . I can not wait for all of you to see it ! Stay tuned for links on the video . ",1237132585085493248,excitement,Mon Mar 09 21:46:07 +0000 2020
