tweet_text,tweet_id,tweet_emotion,created_at
VALUETAINMENT on Instagram : “ talks about the difference between fear and danger and how it relates to the Coronavirus ”,1236145063178076160,fear,Sat Mar 07 04:22:04 +0000 2020
" Danger is  real , but  fear is a  Choice ! ! ! !",1235622694084804609,fear,Thu Mar 05 17:46:21 +0000 2020
Shadow Government  shadow  control  fear  hope  conspiracy  federal  wethepeople  patriotism  danger  resiliency  backchannels  ruleoflaw  starsandstripes  democracy  freedom  blackandwhitephotography  fineart…,1234337167108968450,fear,Mon Mar 02 04:38:08 +0000 2020
The point of maximum  danger is the point of minimum  fear .,1234239310364364803,fear,Sun Mar 01 22:09:17 +0000 2020
There is often less  danger in the things we  fear than in the things we  desire .,1233559395411169281,fear,Sat Feb 29 01:07:32 +0000 2020
"No matter how many diseases we have overcome with fear and courage , the main disease of our time remains  fear of  life.…",1236739068303740932,fear,Sun Mar 08 19:42:26 +0000 2020
Interesting read .,1236736966177304579,fear,Sun Mar 08 19:34:04 +0000 2020
Your fear is 100  dependent on you for its survival . by Steve,1236736303858925569,fear,Sun Mar 08 19:31:26 +0000 2020
"Making sense of our emotions requires reliance on God ’ s power . While  fear and  anxiety are emotions God created , they are not emotions He wants to hijack our hearts .",1236735724143235072,fear,Sun Mar 08 19:29:08 +0000 2020
 ad How to overcome anxiety with Christianity Part 1  Click here to find out more  gt ;  gt ;  anxiety  fear…,1236735720888225793,fear,Sun Mar 08 19:29:07 +0000 2020
Study suggests  mindfulness makes it easier to forget your fears,1236734178537824256,fear,Sun Mar 08 19:23:00 +0000 2020
"Hey , buddy , wash what you are doing !  germs  germ  germaphobe  germaphobia  bacteria  virus  viruses  fear  cartoon  car…",1236732730190073857,fear,Sun Mar 08 19:17:14 +0000 2020
But have you actually tried just taking a bath ? ,1236732103741620226,fear,Sun Mar 08 19:14:45 +0000 2020
"Yesterday , a  racist white man yelled at my college daughter on way to lead singing at a  church worship service in  NorthamptonMA  Massachusetts  Mass.gov  Chinks with the  Coronavirus should not be on the bus .  It shook her . Sad world living in  fear and in the era of  MAGA .",1236729430656999424,fear,Sun Mar 08 19:04:08 +0000 2020
What scares you ? And how do you find courage again ? Stan Stewart explores  fear and  courage RT,1236729370791870467,fear,Sun Mar 08 19:03:53 +0000 2020
" Before you can become a millionaire , you must learn to think like one . You must learn how to motivate yourself to counter fear with courage .  Thomas J. Stanley",1236728663820963840,fear,Sun Mar 08 19:01:05 +0000 2020
"📣 New Podcast !  Q  amp ; A  8  Curveball Efficiency , Should You Do Driveline , Velo Reads on a Budget  More  on",1236724941212585985,fear,Sun Mar 08 18:46:17 +0000 2020
