tweet_text,tweet_id,tweet_emotion
"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",1236697823485149185,fear
Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,1236677699248304129,fear
Here ’ s a post I have written about fear . Please read it if you have the time 🖤,1236496023616290817,fear
9am : coffee shop packed 9pm : bowling alley packed,1236592711982911489,fear
"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",1236686686500732928,fear
"You  win some , you  lose some , you  fear some .",1236678661106888704,fear
What if you could face  challenges with less  fear  amp ;  insecurities ? What is your  selfconfidence based on ?,1236485607993405440,fear
"Dark Mind  A short , disturbing , instrumental horror track .  horror  thriller  terror  film  theat…",1236607756066590720,fear
But have you actually tried just taking a bath ? ,1236732103741620226,fear
let us GET THIS SHIZZ ROLLIN  ! ! !  twitchaffiliate  gruntstyle  Twitch  fearclan  fear  USMC  supportsmallstreamers  supports…,1236521223502401539,fear
" I learned that courage was not the absence of fear , but the triumph over it . The brave man is not he who does not feel afraid , but he who conquers that fear .  Nelson Mandela quotes  fear  triumph success",1236487604004143105,fear
 Permission to  fail is the concept that I developed and believed for long now because I think it is more effective way towards success . One has to let go of  fear of being a  failure in order to become  successful . Failure is a step closer to success .,1236541783590547456,fear
Dreaded Tales : A Short  Horror Story Collection  paranormal 👻  psychological  fear 😱  slasher 🔪  zombies 🧟‍♂️🧟‍♀️  superna…,1236693837227188227,fear
The Latest : Mideast stock markets sharply drop on  virus  fear  Mar 8  11:44 AM ET,1236679720307175426,fear
"“ What I came to realize is that fear , that is the worst of it . that is the real enemy . So , get up , get out in the real world and you kick that bastard as hard you can right in the teeth. ”  Walter White .",1236633900916584450,fear
" Australia  amp ;  USA .. unhealthy selfish societies ⤵️ Ugly  hate  amp ;  Fear from  media , Governments  amp ; here we are .  auspol…",1236456308938686464,fear
" COVID19 will not kill us , but",1236652580928925696,fear
"📣 New Podcast !  Q  amp ; A  8  Curveball Efficiency , Should You Do Driveline , Velo Reads on a Budget  More  on",1236724941212585985,fear
 fear is fucked up !  spirit is REAL,1236684116571099138,fear
"Okay . Normal . Living with most Welcome to my world ,",1236674725826506752,fear
Fridaycuckoo mood .,1236018521836052480,happy
Major throwback ... missing those days .  peace  love  life  nature  happiness  photography  meditation  art  joy  instagood  happy  god  faith  music  hope  instagram  travel  yoga  freedom  motivation  inspiration…,1237062388651827200,happy
Smaller churches face bigger problems .  Image credit : Saul LoebAFP via Getty Images ,1238578982926405632,happy
let us keep it pushing,1235171802869006337,happy
"A true friend stay forever beyond words , distance , time .  love  royal  unconditional  joy  happiness  nature  travel  twitt…",1236755483991605249,happy
Just a Happy doggy and an open field ❤️,1235921043145060353,happy
Good night 🌃,1234144985051729921,happy
Thought of the day  good thought,1238543908914835456,happy
Gm folks  blessings  love  blessed  god  faith  peace  life  happiness  grateful  family  gratitude  jesus  motivation  thankful  happy  prayer  joy  inspiration  positivevibes  happynewyear  godisgood  pray…,1236997812895789058,happy
Very nice presentation last nite Fola with Herlin Riley ’ s cousin Mister James Andrews the brother of “ …,1236218728892809221,happy
" peter  mccormack ,  host of  “ what  bitcoin  did , ”  discusses what makes a",1238555598024736776,happy
"La multi ani de  martisor 💐Sa aveti o primavara minunata ! Happy  springtime 🦋 In Romania we celebrate the beginning of  springtime today , when the nature blossoms it is",1234066435531395073,happy
CLINK ! Connect with people with similar journeys as you ! Join our support group ! Log into Facebook  Facebook,1235233874059440128,happy
 HappyFillTheBlank : Is it a person ? A song ? A place ?,1235656859106693120,happy
the latest podcast – the latest blog post –,1234516446350200832,happy
Whoever thinks they can talk you into any mind games is in for a surprise . They will be disappointed ... speak honestly  amp ; openly !,1234848344092168194,happy
"“ We travel not to escape life , but for life not to escape us ”     we  travel  traveling  traveler  travelholic  travelgram  success  happy  beautiful  happiness  fun  love  care  share  joy  december  laugh…",1234716317875179523,happy
Daily  affirmations  inspiration  motivation  open  awareness  beauty  joy  illuminate  experience  life  light  newthought  kindness  love  peace  grateful  happy ❤️☮️🙏😊✌️❤️,1236965791628656645,happy
it is 7th Anniversary . Thank you for all your Love and Support One Place a Better YOU ! call 781.321.2000,1238534837264420865,happy
Happy Women Day ! My favorite woman in the word ❤️  girlpower  womensday  happy  live  love  thankful  gratefulheart  greatfulforlife  girlsareawesome  fun  joy  everydayisagift  majaarnold ❤️,1236769941501677570,happy
 Almost everyone who suffers from addiction has trauma in their past and struggles with how to process the pain from those events  . Struggling to navigate feelings of  anger are common in  addiction  recovery . ,1235658885861699585,anger
 Aggression in  children requires early intervention . Here are some tips to help you and your child learn how to deal with  anger😡 .,1236328306741587968,anger
"When unexpected events disrupt what we expect to occur , we get angry . what is the  anger all about ?",1235629946036355072,anger
lia me no like you because I say you ignore me but you make tweet and you think you happy but me no happy grrrr,1236543315186577409,anger
What Makes You Lose Your Temper ?,1236246912321433600,anger
"When you find yourself in the middle of  hardship , overwhelmed with  fear ,  anger ,  sorrow , or any other  painful  emotions , there is always a way out . Here are ten  HelpfulTips on getting through tough times in life :",1236647114526142466,anger
"Keeping a cool head in trying situations , especially within the home and the workplace is key to a harmonious life filled with kindness . But just how do you go about it ? Try this solution , free ",1236732137174372352,anger
Here s an article with the one simple tip to let go of  anger and  frustration and how to pull yourself out of depression ...,1236557517918031872,anger
"I am ANGRY ! I am OUTRAGED ! Not really . I am actually in a good mood , but expressing rage seems to be popular on Twitter , so here is a drawing of of some rage .",1236295283304271874,anger
"Anger Management Expert , Educator , Researcher , Mediator , Entrepreneur , and Talk Show Host Dr. Vicki D. Coleman on The Cure Radio Show with Aimee Cabo , this Sat March 7 , 1 PM est .",1235380724091543552,anger
I want to kill you and destroy you . I want you died and I want Flint back .,1236903811253297152,anger
Keep your insights but turn the volume up or down on your delivery . that is how you meet people where they are .,1236668517103042562,anger
Cool Down Strategies for Kids help kids  cope with,1236555828989177858,anger
"When we are angry we can turn that anger inward . Bad things then happen . Things like addictions , eating disorders , saying hurtful things to ourselves and others . An excellent article by my friend , psychotherapist Esther :",1235639367823020032,anger
When you laugh you destroy all those feelings of  anger in  SevenDeadlySins . That is why I run  GiggleboxL to help with nasty feelings that lurk in our souls,1237065674771632128,anger
"I wanted to write  Case Aapke Baba Ladenge  . But in the expression of  Anger  I wrote ,  Case Tumhara Baap Ladega  .",1236287205024251904,anger
Kottonmouth Kings  Peace Not Greed via I got to say I threw away a sweatshirt  I may have fallen off ? prettymuch  trans too many labels for me to keep with I still have the megaphone 📣vibe  anger is  power but I can not yell all the time .,1235728744658219009,anger
Tip of the day : Meditation is one of the best tools for  anger management,1235974789304590338,anger
Why is everyone so angry and anxious ?,1235778432715366400,anger
there is a middle road between stuffing your emotions and letting frustration get to you : Calibrate !,1235596591106580481,anger
 exciting new photos just added ! ! ! !,1237257707469582336,excitement
New  exciting photos just added ! !,1236495629179912192,excitement
