tweet_original_text,tweet_full_text,tweet_id,tweet_emotion,created_at
"https://t.co/Xi0Vjq3Ib8

An #exciting new #development in #ArtificialInteligence #technologies could pave the way for an automated diabetes kits, which could go a long way to help in the day to day #treatment of #diabetes! Read about this exciting technology @FinancialTimes.","An  exciting new  development in  ArtificialInteligence  technologies could pave the way for an automated diabetes kits , which could go a long way to help in the day to day  treatment of  diabetes ! Read about this exciting technology .",1237366067586043904,excitement,Tue Mar 10 13:13:54 +0000 2020
RT @odea_HMCS: Ready for another exciting phonics lesson @HMC_School @AMarsden_HMCS  #phonics #preparing #exciting #bootcamp #phase5 https:…,Ready for another exciting phonics lesson,1237355928057532418,excitement,Tue Mar 10 12:33:36 +0000 2020
"RT @Smithgonsalves: It was an #amazing, #exciting &amp; #awesome #conference this year we had #nullcon2020, met a lot amount friends &amp; colleagu…","It was an  amazing ,  exciting  amp ;  awesome  conference this year we had  nullcon2020 , met a lot amount friends  amp ; colleagu…",1237352070518173697,excitement,Tue Mar 10 12:18:17 +0000 2020
"RT @OhmeEV: https://t.co/uxrcU4m73d 

1 million and counting! @tesla @mashable 👏

#electric #zerocarbon #exciting #transitiontoelectric ⚡⚡⚡…",1 million and counting ! 👏  electric  zerocarbon  exciting  transitiontoelectric ⚡⚡⚡…,1237347229909880833,excitement,Tue Mar 10 11:59:03 +0000 2020
"https://t.co/uxrcU4m73d 

1 million and counting! @tesla @mashable 👏

#electric #zerocarbon #exciting #transitiontoelectric ⚡⚡⚡ https://t.co/tMbVKFs8nD",1 million and counting ! 👏  electric  zerocarbon  exciting  transitiontoelectric ⚡⚡⚡,1237347049168867329,excitement,Tue Mar 10 11:58:19 +0000 2020
"RT @jason_rybak: #Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot.
#exciting #action #thriller #adven…", Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot .  exciting  action  thriller  adven…,1237345977465520133,excitement,Tue Mar 10 11:54:04 +0000 2020
Are you looking for a new adventure? #Lincoln #College are #recruiting a #Lecturer in #Policing to join our team! This is an #exciting new collaborative training venture with #Lincolnshire #Police and #G4S! Find out more information here: https://t.co/2aUJT5pYR1 https://t.co/mjwb2PMohk,Are you looking for a new adventure ?  Lincoln  College are  recruiting a  Lecturer in  Policing to join our team ! This is an  exciting new collaborative training venture with  Lincolnshire  Police and  G4S ! Find out more information here :,1237333192430047233,excitement,Tue Mar 10 11:03:16 +0000 2020
"9 more #exciting photos just added!!! #KzooCowboy #Kalamazoo #Michigan #photography

https://t.co/rXddSRwuud",9 more  exciting photos just added ! ! !,1237326814172848129,excitement,Tue Mar 10 10:37:55 +0000 2020
"@keithellison Don't forget to check out my #exciting photography!!! 

https://t.co/4WuCRBV5sb",do not forget to check out my  exciting photography ! ! !,1237323807188279296,excitement,Tue Mar 10 10:25:58 +0000 2020
Let day 2 commence! #futureleadrers #faceofthefutute #exciting #wearethefuture #studentnurse @SWANSLA https://t.co/X0QdFsE9OT,Let day 2 commence !,1237317791507714048,excitement,Tue Mar 10 10:02:04 +0000 2020
