tweet_original_text,tweet_full_text,tweet_id,tweet_emotion,created_at
VALUETAINMENT on Instagram: “@patrickbetdavid talks about the difference between fear and danger and how it relates to the Coronavirus” #coronavirus #fear #danger  https://t.co/Q2acVT6vQd,VALUETAINMENT on Instagram : “ talks about the difference between fear and danger and how it relates to the Coronavirus ”,1236145063178076160,fear,Sat Mar 07 04:22:04 +0000 2020
"#Danger is #real,but #fear is a #Choice!!!!"," Danger is  real , but  fear is a  Choice ! ! ! !",1235622694084804609,fear,Thu Mar 05 17:46:21 +0000 2020
Shadow Government #shadow #control #fear #hope #conspiracy #federal #wethepeople #patriotism #danger #resiliency #backchannels #ruleoflaw #starsandstripes #democracy #freedom #blackandwhitephotography #fineart… https://t.co/vdpqgOxU8I,Shadow Government  shadow  control  fear  hope  conspiracy  federal  wethepeople  patriotism  danger  resiliency  backchannels  ruleoflaw  starsandstripes  democracy  freedom  blackandwhitephotography  fineart…,1234337167108968450,fear,Mon Mar 02 04:38:08 +0000 2020
"The point of maximum #danger is the point of minimum #fear. 

#Motivation #Life",The point of maximum  danger is the point of minimum  fear .,1234239310364364803,fear,Sun Mar 01 22:09:17 +0000 2020
There is often less #danger in the things we #fear than in the things we #desire. #TeamFollowBack #RockTheReTweet #FACT,There is often less  danger in the things we  fear than in the things we  desire .,1233559395411169281,fear,Sat Feb 29 01:07:32 +0000 2020
"RT @mariarosa_456: No matter how many diseases we have overcome with fear and courage, the main disease of our time remains #fear of #life.…","No matter how many diseases we have overcome with fear and courage , the main disease of our time remains  fear of  life.…",1236739068303740932,fear,Sun Mar 08 19:42:26 +0000 2020
"Interesting read. 
#COVID2019 #logic #facts #perspective #education #science #viruses #society #fear 
#psychology #humanity 
https://t.co/Zjt8DZqrGq",Interesting read .,1236736966177304579,fear,Sun Mar 08 19:34:04 +0000 2020
Your fear is 100% dependent on you for its survival. by Steve #Maraboli https://t.co/ce1f6oQ7tX #fear https://t.co/kEuGNE0HWI,Your fear is 100  dependent on you for its survival . by Steve,1236736303858925569,fear,Sun Mar 08 19:31:26 +0000 2020
"Making sense of our emotions requires reliance on God’s power. While #fear and #anxiety are emotions God created, they are not emotions He wants to hijack our hearts.","Making sense of our emotions requires reliance on God ’ s power . While  fear and  anxiety are emotions God created , they are not emotions He wants to hijack our hearts .",1236735724143235072,fear,Sun Mar 08 19:29:08 +0000 2020
RT @Yeahilike: #ad How to overcome anxiety with Christianity Part 1 - Click here to find out more &gt;&gt; https://t.co/iFaSiLvUlT #anxiety #fear…, ad How to overcome anxiety with Christianity Part 1  Click here to find out more  gt ;  gt ;  anxiety  fear…,1236735720888225793,fear,Sun Mar 08 19:29:07 +0000 2020
Study suggests #mindfulness makes it easier to forget your fears https://t.co/FHByzzStWB #fear #emotions #psychology,Study suggests  mindfulness makes it easier to forget your fears,1236734178537824256,fear,Sun Mar 08 19:23:00 +0000 2020
"RT @RubesCartoons: Hey, buddy, wash what you’re doing!

#germs #germ #germaphobe #germaphobia #bacteria #virus #viruses #fear #cartoon #car…","Hey , buddy , wash what you are doing !  germs  germ  germaphobe  germaphobia  bacteria  virus  viruses  fear  cartoon  car…",1236732730190073857,fear,Sun Mar 08 19:17:14 +0000 2020
But have you actually tried just taking a bath? | #Fiction #writingcommunity #literaryzine #amwriting #submit #writerlift https://t.co/uuujuQBfpK #anorexia #fear,But have you actually tried just taking a bath ? ,1236732103741620226,fear,Sun Mar 08 19:14:45 +0000 2020
"Yesterday, a #racist white man yelled at my college daughter on way to lead singing at a #church worship service in #NorthamptonMA #Massachusetts #Mass.gov ""Chinks with the #Coronavirus should not be on the bus."" It shook her. Sad world living in #fear and in the era of #MAGA.","Yesterday , a  racist white man yelled at my college daughter on way to lead singing at a  church worship service in  NorthamptonMA  Massachusetts  Mass.gov  Chinks with the  Coronavirus should not be on the bus .  It shook her . Sad world living in  fear and in the era of  MAGA .",1236729430656999424,fear,Sun Mar 08 19:04:08 +0000 2020
What scares you? And how do you find courage again? Stan Stewart explores #fear and #courage https://t.co/o3oN9hZJuK RT @muz4now https://t.co/sr3gXhjha0,What scares you ? And how do you find courage again ? Stan Stewart explores  fear and  courage RT,1236729370791870467,fear,Sun Mar 08 19:03:53 +0000 2020
"""Before you can become a millionaire, you must learn to think like one. You must learn how to motivate yourself to counter fear with courage."" Thomas J. Stanley #QuotesAt2 #millionaire #fear #courage https://t.co/McPqZv7cWc"," Before you can become a millionaire , you must learn to think like one . You must learn how to motivate yourself to counter fear with courage .  Thomas J. Stanley",1236728663820963840,fear,Sun Mar 08 19:01:05 +0000 2020
"📣 New Podcast! ""Q&amp;A #8 - Curveball Efficiency, Should You Do Driveline, Velo Reads on a Budget + More"" on @Spreaker #curveball #diamondkinetics #driveline #fastball #fear #nerves #pitching #pitchingcoach #pocketradar #rapsodo #spin #spinrate https://t.co/G0o2Yc9VCi","📣 New Podcast !  Q  amp ; A  8  Curveball Efficiency , Should You Do Driveline , Velo Reads on a Budget  More  on",1236724941212585985,fear,Sun Mar 08 18:46:17 +0000 2020
"When Old man of #God become #stubborn, they forget to #humble themselves Making live more complicated for others When what's right contradict their views, opinions &amp;intelligence, they won't change bcuze of #fear of losing their title, #status.©®
B.B.Welderufael

@RevJohnHMoore1","When Old man of  God become  stubborn , they forget to  humble themselves Making live more complicated for others When what is right contradict their views , opinions  amp ; intelligence , they will not change bcuze of  fear of losing their title ,  status.©® B.B.Welderufael",1236724792935448577,fear,Sun Mar 08 18:45:42 +0000 2020
"You need to either choose your fear or your desire to succeed
https://t.co/jJ3YSZ30RJ #fear #goals",You need to either choose your fear or your desire to succeed,1236723174320099336,fear,Sun Mar 08 18:39:16 +0000 2020
"""I sought the Lord, and He answered me, and delivered me from all my fears."" Psalm 34:4 
https://t.co/QT8yxX20ln 
#fear #life #anxiety #trepidation #deliverance #victory #encouragement"," I sought the Lord , and He answered me , and delivered me from all my fears .  Psalm 34:4",1236720566033252352,fear,Sun Mar 08 18:28:54 +0000 2020
"Do not allow #fear to drive your Corona-Virus  worries!
https://t.co/s6JLSIJQjB",Do not allow  fear to drive your CoronaVirus worries !,1236719007622979586,fear,Sun Mar 08 18:22:43 +0000 2020
AARP article: How to Conquer Your Fear of Flying https://t.co/ZH4TCvxYj6 #fear #flying #airline #airplane #panic https://t.co/PASvA8I5Ck,AARP article : How to Conquer Your Fear of Flying,1236718358772539396,fear,Sun Mar 08 18:20:08 +0000 2020
"""If you're short on passion, it might be because your #goals are too small or the #fear is too big."" - Seth Godin https://t.co/GTi1SYszBL"," If you are short on passion , it might be because your  goals are too small or the  fear is too big .   Seth Godin",1236717398427758593,fear,Sun Mar 08 18:16:19 +0000 2020
"This is what should be viral: “Fear is the most contagious of all diseases”
-Latreesha Cook, RN, LCR*, 2020

*Latreesha’s Center for Reality.                 #caronavirusoutbreak #coronavirus #fear #COVID19","This is what should be viral : “ Fear is the most contagious of all diseases ” Latreesha Cook , RN , LCR , 2020 Latreesha ’ s Center for Reality .",1236715889501908997,fear,Sun Mar 08 18:10:19 +0000 2020
"@MarkLevineNYC @carlzimmer Ppl travel all over #nyc including those in Westchester through Grand Central etc. - right now there are 5,000 ppl in quarantine&amp;thousands IN #NEWYORKCITY waiting for tests #coronavirus is EVERYWHERE the ONLY way to NOT live in #fear is to LIVE IN REALITY","Ppl travel all over  nyc including those in Westchester through Grand Central etc .  right now there are 5,000 ppl in quarantine  amp ; thousands IN  NEWYORKCITY waiting for tests  coronavirus is EVERYWHERE the ONLY way to NOT live in  fear is to LIVE IN REALITY",1236715720798613504,fear,Sun Mar 08 18:09:39 +0000 2020
"#Iwish rapists get hanged in 6 months flat (courts fasttrack these cases, restructure #HumanRights laws by then) Putting a #fear within the potential #rapists.
A year of a series of such #verdicts could possibly streamline many #dangerousminds to #behave
#Thoughts #WomensDay2020"," Iwish rapists get hanged in 6 months flat  courts fasttrack these cases , restructure  HumanRights laws by then  Putting a  fear within the potential  rapists . A year of a series of such  verdicts could possibly streamline many  dangerousminds to",1236714625736912896,fear,Sun Mar 08 18:05:18 +0000 2020
"Hey #Denver peeps! The timely edited volume Historicizing Fear is now available at the @BookBarDenver! Also, feel free to drop by for a drink ... be sure to tip your bartender 😊.  #SocialJustice #popularculture #othering  #fear #history https://t.co/Ky3wJCFGbC","Hey  Denver peeps ! The timely edited volume Historicizing Fear is now available at the ! Also , feel free to drop by for a drink ... be sure to tip your bartender 😊 .",1236712120193933320,fear,Sun Mar 08 17:55:21 +0000 2020
"RT @OsamahAlmuslim: Book cover 📚 
#fear
#osamahalmuslim https://t.co/maqubCAl9c",Book cover 📚,1236712021518934017,fear,Sun Mar 08 17:54:57 +0000 2020
"I Encountered The Craziest Monster EVER And I'm Regretting It!!! (Desol... https://t.co/w9UvRhGjw5 via @YouTube
#youtube #channel #youtubechannel #games #gamer #walkthrough #supportme #caythan #pc #pcgamer #pcgaming #videogames #horror #horrorgame #fear #scary #jumpscare #part14",I Encountered The Craziest Monster EVER And I am Regretting It ! ! !  Desol ... via,1236711574179647494,fear,Sun Mar 08 17:53:10 +0000 2020
The devil is using the #fear of the #Coronavirus to attack the #church. We are no longer able to give peace and have to sing it... Crazy I tell ya! #CatholicChurch,The devil is using the  fear of the  Coronavirus to attack the  church . We are no longer able to give peace and have to sing it ... Crazy I tell ya !,1236709303375052801,fear,Sun Mar 08 17:44:09 +0000 2020
"Fear can be debilitating or liberating. Fear is very real. Very raw. Especially when tied deeper with past experiences. 3weeks ago I made a deal with someone that if she faced her fear, I would follow suit. She carried out hers and well here is mine.
#fear #overcoming #spiders https://t.co/bKxCV1BLhE","Fear can be debilitating or liberating . Fear is very real . Very raw . Especially when tied deeper with past experiences . 3weeks ago I made a deal with someone that if she faced her fear , I would follow suit . She carried out hers and well here is mine .",1236706902047784961,fear,Sun Mar 08 17:34:37 +0000 2020
"RT @CoinTrendz: Crypto Sentiment of Today 🙏
💡Status: Fear
📊Value: 33/100
#crypto #sentiment #greed #fear https://t.co/rUM6cNiWqL",Crypto Sentiment of Today 🙏 💡Status : Fear 📊Value : 33100,1236705982362914817,fear,Sun Mar 08 17:30:57 +0000 2020
"Let’s spread more HOPE than fear. More KINDNESS than hate.
SOLUTIONS rather than problems. 
More POSITIVITY than negativity. 
Let’s not create a world of NEUTRALITY &amp; INDIFFERENCE.
It’s for people who are overloaded with information &amp; they later on say, Whatever. #hope #fear","let us spread more HOPE than fear . More KINDNESS than hate . SOLUTIONS rather than problems . More POSITIVITY than negativity . let us not create a world of NEUTRALITY  amp ; INDIFFERENCE . it is for people who are overloaded with information  amp ; they later on say , Whatever .",1236701746266685441,fear,Sun Mar 08 17:14:07 +0000 2020
