tweet_original_text,tweet_full_text,tweet_id,tweet_emotion,created_at
"RT @Swan827: Love is not what you say. Love is what you do.

#love #joy #happy #unselfish #unconditional #happiness #travel https://t.co/WW…",Love is not what you say . Love is what you do .,1237066917048979456,happy,Mon Mar 09 17:25:11 +0000 2020
Major throwback ... missing those days. #peace #love #life #nature #happiness #photography #meditation #art #joy #instagood #happy #god #faith #music #hope #instagram #travel #yoga #freedom #motivation #inspiration… https://t.co/YXqXIDf6js,Major throwback ... missing those days .  peace  love  life  nature  happiness  photography  meditation  art  joy  instagood  happy  god  faith  music  hope  instagram  travel  yoga  freedom  motivation  inspiration…,1237062388651827200,happy,Mon Mar 09 17:07:11 +0000 2020
"RT @Swan827: Leave footprints of love and kindness wherever you go.

#love #happy #joy #unselfish #unconditional #thankful #gratitude #trav…",Leave footprints of love and kindness wherever you go .  love  happy  joy  unselfish  unconditional  thankful  gratitude  trav…,1237053329873788929,happy,Mon Mar 09 16:31:11 +0000 2020
"#Holi is the #festival of #color and #love
the life is nothing loveless and colorless

Happy holi
enjoy your #colorful and full of love #life and make others life colored and #beloved

#love #joy #happiness #Happy… https://t.co/gFn6Cufl1g", Holi is the  festival of  color and the life is nothing loveless and colorless Happy holi enjoy your  colorful and full of love  life and make others life colored and  love  joy  happiness  Happy…,1237044919463809029,happy,Mon Mar 09 15:57:46 +0000 2020
@RescueSoldiers R quickly becoming my fave people. #compassion #kindness #KindnessStartsWith #KindnessConnectsUs #love #bekind #compassion #kindnessmatters #gratitude #inspiration #kind #hope #happy #joy  #instagood #grateful #community #humanity #rescuestory #vegan #Dog #dogs 🙏 https://t.co/UkimIVwmNE,R quickly becoming my fave people .  compassion  kindness  KindnessStartsWith  KindnessConnectsUs  love  bekind  compassion  kindnessmatters  gratitude  inspiration  kind  hope  happy  joy  instagood  grateful  community  humanity  rescuestory  vegan  Dog  dogs 🙏,1237014161457963009,happy,Mon Mar 09 13:55:33 +0000 2020
"RT @Swan827: Live in the moment and enjoy the little things in life.

#joy #happy #love #little #squirrels #outdoors #twitter https://t.co/…",Live in the moment and enjoy the little things in life .,1237008073375600640,happy,Mon Mar 09 13:31:21 +0000 2020
"Happy Holi ... Festival of colors with joy and Happiness.😀😃
.
https://t.co/d65rsnSecO
#holi2020 #festival #colors #happy #joy #happy #love #enjoy #websitedevelopment #website #webapplication #application #Buddhistsamaj #buddhistmatrimonyapp #buddhistmatrimony #buddhism #jaybhim https://t.co/mKVbo3ZKUt",Happy Holi ... Festival of colors with joy and Happiness.😀😃 .,1237006228066144258,happy,Mon Mar 09 13:24:01 +0000 2020
"You can forgive, forget &amp; move forward in whichever way works best for you...always keep your well being in mind! #2BU #inspire #positivevibes #motivationmonday #leader #success #goals #power #strong #smart #passion #believe #faith #happy #life #love #peace #joy #QOTD","You can forgive , forget  amp ; move forward in whichever way works best for you ... always keep your well being in mind !",1237002568213180418,happy,Mon Mar 09 13:09:29 +0000 2020
"Happy Holi !! Enjoy the festival of colors 🤩😃
https://t.co/mmTPKpCWcl
.
#holi2020 #festival #indian #colors #happy #joy #happy #love #enjoy #websitedevelopment #website #webapplication #application #web #Buddhistsamaj #buddhistmatrimonyapp #buddhistmatrimony #buddhism #jaybhim https://t.co/aky2QRfiO1",Happy Holi ! ! Enjoy the festival of colors 🤩😃 .,1237001837795897346,happy,Mon Mar 09 13:06:35 +0000 2020
"Happy Holi... Enjoy the festival of colors with joy &amp; Happiness, Use natural colors in this Holi !!😃
https://t.co/si0JMXlxHs
.
#holi2020 #festival #indian #colors #happy #joy #love #enjoy #love #marriageprofile #weddingideas #marriageprofile #marathimatrimony #matrimonyapp https://t.co/m4Vg6Tobgg","Happy Holi ... Enjoy the festival of colors with joy  amp ; Happiness , Use natural colors in this Holi ! ! 😃 .",1236999955023147010,happy,Mon Mar 09 12:59:06 +0000 2020
"Happy Holi!! Wishing you Joy and Wealth this Holi 😃🙂
https://t.co/AeiasIrf7r
.
#holi2020 #festival #indian #happy #joy #love #enjoy #marraige #wedding #marathimatrimony #weddinginspiration #freeregister #indianwedding #mumbai #matrimonyapp #destinationwedding #loveislove https://t.co/MmQpelMhyM",Happy Holi ! ! Wishing you Joy and Wealth this Holi 😃🙂 .,1236998648166141954,happy,Mon Mar 09 12:53:54 +0000 2020
"Gm folks 

#blessings #love #blessed #god #faith #peace #life #happiness #grateful #family #gratitude #jesus #motivation #thankful #happy #prayer #joy #inspiration #positivevibes #happynewyear #godisgood #pray… https://t.co/bTMGRfKNHp",Gm folks  blessings  love  blessed  god  faith  peace  life  happiness  grateful  family  gratitude  jesus  motivation  thankful  happy  prayer  joy  inspiration  positivevibes  happynewyear  godisgood  pray…,1236997812895789058,happy,Mon Mar 09 12:50:35 +0000 2020
"RT @Swan827: There is a magnet in your heart that will attract true friends.

#love #joy #happy #unselfish #unconditional #happiness #share…",There is a magnet in your heart that will attract true friends .  love  joy  happy  unselfish  unconditional  happiness  share…,1236995779602067459,happy,Mon Mar 09 12:42:30 +0000 2020
