tweet_id,tweet_full_text,tweet_lang,created_at
1237366067586043904,"https://t.co/Xi0Vjq3Ib8

An #exciting new #development in #ArtificialInteligence #technologies could pave the way for an automated diabetes kits, which could go a long way to help in the day to day #treatment of #diabetes! Read about this exciting technology @FinancialTimes.",en,Tue Mar 10 13:13:54 +0000 2020
1237362794162540545,"Air &amp; 12-day South African adventure including the natural wonder, Victoria Falls! Info here: https://t.co/uJxcn4EyGe

#travel #vacation #flight #hotel #Africa #beauty #wonder #photography #adventure #happiness #exciting #wow https://t.co/aTFCjpW5EI",en,Tue Mar 10 13:00:53 +0000 2020
1237360401135865857,RT @LemonYellowLLP: When it’s Holi it gets even crazier. Playing with colours keeps us excited and here’s LY splashing the colours of happi…,en,Tue Mar 10 12:51:23 +0000 2020
1237359191234424832,"Back in the @Junglebarherts
this Saturday night from 10pm-3am
Giving you that #GOINGFULLTHROTTLE fix up I know you like it #Fresh #Exciting https://t.co/acQ4nvhwGz",en,Tue Mar 10 12:46:34 +0000 2020
1237359061999529984,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 12:46:04 +0000 2020
1237357928421773318,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 12:41:33 +0000 2020
1237355928057532418,RT @odea_HMCS: Ready for another exciting phonics lesson @HMC_School @AMarsden_HMCS  #phonics #preparing #exciting #bootcamp #phase5 https:…,en,Tue Mar 10 12:33:36 +0000 2020
1237355793026101250,RT @carerphil: #HEEMentalHealth #exciting day @NHS_HealthEdEng showcase various elements of #mentalhealth inc #PeerSupport https://t.co/1es…,en,Tue Mar 10 12:33:04 +0000 2020
1237353538004684802,RT @carerphil: #HEEMentalHealth #exciting day @NHS_HealthEdEng showcase various elements of #mentalhealth inc #PeerSupport https://t.co/1es…,en,Tue Mar 10 12:24:07 +0000 2020
1237353433973305346,"March 13th

#MYM #Exposed #ExposedShortFilm #new #exciting #FullyFocused #production #drama #film #tuesdaymotivation #tuesdaythoughts #dumpingground #geteven #watchwhatIdo #topboy #thelasttree #competition #premiere #explore #explorepage #london #westend #filmcompetition https://t.co/E8juGtLtMc",en,Tue Mar 10 12:23:42 +0000 2020
1237353185448206338,RT @facilitatorkent: #Exciting! Students from @theleighutc prep for their final presentation for  #MadeInBluewater  inter school competitio…,en,Tue Mar 10 12:22:42 +0000 2020
1237352070518173697,"RT @Smithgonsalves: It was an #amazing, #exciting &amp; #awesome #conference this year we had #nullcon2020, met a lot amount friends &amp; colleagu…",en,Tue Mar 10 12:18:17 +0000 2020
1237350724280946688,"RT @MarthaPerezBook: TEARDROPS FALL
#Mustread 
Unlike most #shortstories that leave the reader without an ending, in this book each story c…",en,Tue Mar 10 12:12:56 +0000 2020
1237347738318233600,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 12:01:04 +0000 2020
1237347229909880833,"RT @OhmeEV: https://t.co/uxrcU4m73d 

1 million and counting! @tesla @mashable 👏

#electric #zerocarbon #exciting #transitiontoelectric ⚡⚡⚡…",en,Tue Mar 10 11:59:03 +0000 2020
1237347049168867329,"https://t.co/uxrcU4m73d 

1 million and counting! @tesla @mashable 👏

#electric #zerocarbon #exciting #transitiontoelectric ⚡⚡⚡ https://t.co/tMbVKFs8nD",en,Tue Mar 10 11:58:19 +0000 2020
1237345977465520133,"RT @jason_rybak: #Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot.
#exciting #action #thriller #adven…",en,Tue Mar 10 11:54:04 +0000 2020
1237344966348849152,Busy day here at BDL! Always trying to make more room so today we are in the middle of an office refurb! Excited to see the finished product. 🔥🖥️🔨#officerefurb #exciting #busy #passivefireprotection https://t.co/c6ALMEhYLK,en,Tue Mar 10 11:50:03 +0000 2020
1237341891278012417,RT @ECKnights: Our special project with Katie Doiron is catching the media’s attention!! #exciting #inspiring #empowering,en,Tue Mar 10 11:37:50 +0000 2020
1237338983333576705,RT @facilitatorkent: #Exciting! Students from @theleighutc prep for their final presentation for  #MadeInBluewater  inter school competitio…,en,Tue Mar 10 11:26:16 +0000 2020
1237337210191478784,#HEEMentalHealth #exciting day @NHS_HealthEdEng showcase various elements of #mentalhealth inc #PeerSupport https://t.co/1esGHavDFK,en,Tue Mar 10 11:19:14 +0000 2020
1237336848462217216,#exciting to meet with @queensu #alumni #learning and #sharing @QueensuSON @QueensUHealth @DeanOnCampus @janephilpott #offtocoburg,en,Tue Mar 10 11:17:47 +0000 2020
1237335001013932033,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 11:10:27 +0000 2020
1237333192430047233,Are you looking for a new adventure? #Lincoln #College are #recruiting a #Lecturer in #Policing to join our team! This is an #exciting new collaborative training venture with #Lincolnshire #Police and #G4S! Find out more information here: https://t.co/2aUJT5pYR1 https://t.co/mjwb2PMohk,en,Tue Mar 10 11:03:16 +0000 2020
1237330207306113024,"Exciting times ahead... the launch of @nycrugbyleague with #sssnetwork 
Watch this space! 🙌🏽
#rugbyleague #nycrugby #sportsocietysuccessnetwork #sport #launch #exciting https://t.co/zXYHISxGh2",en,Tue Mar 10 10:51:24 +0000 2020
1237329270571184128,"RT @jason_rybak: #Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot.
#exciting #action #thriller #adven…",en,Tue Mar 10 10:47:41 +0000 2020
1237328622949670912,"Licensing is now underway for Marlo A for toy commercial! 👌📄

#goodluck #gobk #teambk
#fingerscrossed #bizzykidz
#childperformancelicence
#exciting https://t.co/FM9fehc91e",en,Tue Mar 10 10:45:06 +0000 2020
1237326814172848129,"9 more #exciting photos just added!!! #KzooCowboy #Kalamazoo #Michigan #photography

https://t.co/rXddSRwuud",en,Tue Mar 10 10:37:55 +0000 2020
1237325443029753857,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 10:32:28 +0000 2020
1237323807188279296,"@keithellison Don't forget to check out my #exciting photography!!! 

https://t.co/4WuCRBV5sb",en,Tue Mar 10 10:25:58 +0000 2020
1237323733804744705,"@DrJillStein Don't forget to check out my #exciting photography!!! 

https://t.co/4WuCRBV5sb",en,Tue Mar 10 10:25:41 +0000 2020
1237323697607905281,"RT @jason_rybak: #Teenager Atticus finds himself in an explosive car chase and a deadly kidnapping plot.
#exciting #action #thriller #adven…",en,Tue Mar 10 10:25:32 +0000 2020
1237323599633100800,"@mrscorie @MunchmahQuuchi @DrJillStein Don't forget to check out my #exciting photography!!! 

https://t.co/4WuCRBV5sb",en,Tue Mar 10 10:25:09 +0000 2020
1237322142892593152,"Could I please ask you all to click on link,  and share on your own timeline.  Everyone who does, gets an entry into a draw for 6 FREE WEEKS AT ANY OF MY SW GROUPS.    Thanks everyone #EXCITING… https://t.co/23HGsOqEeD",en,Tue Mar 10 10:19:21 +0000 2020
1237320693278281728,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 10:13:36 +0000 2020
1237320170932240386,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 10:11:31 +0000 2020
1237319896855392258,"RT @StanleyFCTrust: 🏟️We are settling in to our new home at our new sports hub!

📞Our new contact details are  01254 475013 and the address…",en,Tue Mar 10 10:10:26 +0000 2020
