tweet_id,tweet_full_text,tweet_lang,created_at
1237375726380179456,"RT @Snishaa2: Yangtze River in China 💦🌳🏞💦🌴🏕🎶💦🌿❤🎥

#TuesdayMotivation #GoodEvening
#TravelTuesday #travelphotography 
#China #Nature #Music…",en,Tue Mar 10 13:52:17 +0000 2020
1237375270522441733,RT @jane_ceramics: Looking forward to delivering this fantastic Japanese themed ceramics back to year 6 Fairfield Primary tomorrow. Part of…,en,Tue Mar 10 13:50:28 +0000 2020
1237375245368979456,"Yangtze River in China 💦🌳🏞💦🌴🏕🎶💦🌿❤🎥

#TuesdayMotivation #GoodEvening
#TravelTuesday #travelphotography 
#China #Nature #Music #Rivers
#Yangtze #Mountains #amazing 

IT'S REALLY MAGNIFICENT!🌳💦🏕
🌴💦 https://t.co/jFWWgEi7tB",en,Tue Mar 10 13:50:22 +0000 2020
1237375114720743425,Fresh coffee ⁦@tv_maid_jane⁩  #Amazing gift to me https://t.co/0p3mZuWxn9,en,Tue Mar 10 13:49:51 +0000 2020
1237375074090524672,"It's : 2020-03-10T13:49:41.4969741Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:49:41 +0000 2020
1237375042268397568,RT @IrishBlkButter: #Wow What a #fantastic #new experience for travellers #sailing #Birkenhead #Belfast @IrishBlkButter  #delighted to be o…,en,Tue Mar 10 13:49:34 +0000 2020
1237374706640093185,"RT @_Paul_Hill_: #mentalhealth #bipolar #BPD #pettherapy 

My boy is #Amazing. He's been so patient today. He's taken me out, I had to call…",en,Tue Mar 10 13:48:14 +0000 2020
1237374449256726528,RT @rescuemeanimal: Little Stevie is learning more &amp; more every day. He really needs to find his special forever home who can continue his…,en,Tue Mar 10 13:47:12 +0000 2020
1237373837060255745,RT @CCLLC2008: Another #amazing #SixTripleEight #documentary screening in #Greenbelt #Maryland  @CityofGreenbelt Mayor  Colin Byrd  present…,en,Tue Mar 10 13:44:46 +0000 2020
1237373815065321473,"It's : 2020-03-10T13:44:41.1560750Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:44:41 +0000 2020
1237373769905328130,RT @iamshadabfaridi: Backstage fun with #amazing actor #bigboss winner and a humble human being @RealVinduSingh Lots of love bhai ❤️🤗 https…,en,Tue Mar 10 13:44:30 +0000 2020
1237373519127773186,Rugged Sports Watches for Men with Digital and Analogue Display#life #getoutside #amazing https://t.co/bP4MKUlrMy https://t.co/bXLwhG5u9s,en,Tue Mar 10 13:43:30 +0000 2020
1237373408276434945,"Check out the Photo of the Week#10 by Ashiq
https://t.co/2KpMaAr7hI

https://t.co/dSzbW6oKvH

#wpc #worldphotographersclub #photography #pov #amazingangle #photographers #beautiful #photooftheweek #amazing #winner #fashion #portrait #model https://t.co/gyKOwtx4w0",en,Tue Mar 10 13:43:04 +0000 2020
