tweet_original_text,tweet_full_text,tweet_id,tweet_emotion,created_at
"Yangtze River in China 💦🌳🏞💦🌴🏕🎶💦🌿❤🎥

#TuesdayMotivation #GoodEvening
#TravelTuesday #travelphotography 
#China #Nature #Music #Rivers
#Yangtze #Mountains #amazing 

IT'S REALLY MAGNIFICENT!🌳💦🏕
🌴💦 https://t.co/jFWWgEi7tB",Yangtze River in China 💦🌳🏞💦🌴🏕🎶💦🌿❤🎥 it is REALLY MAGNIFICENT ! 🌳💦🏕 🌴💦,1237375245368979456,surprise,Tue Mar 10 13:50:22 +0000 2020
Rugged Sports Watches for Men with Digital and Analogue Display#life #getoutside #amazing https://t.co/bP4MKUlrMy https://t.co/bXLwhG5u9s,Rugged Sports Watches for Men with Digital and Analogue Display,1237373519127773186,surprise,Tue Mar 10 13:43:30 +0000 2020
"Check out the Photo of the Week#10 by Ashiq
https://t.co/2KpMaAr7hI

https://t.co/dSzbW6oKvH

#wpc #worldphotographersclub #photography #pov #amazingangle #photographers #beautiful #photooftheweek #amazing #winner #fashion #portrait #model https://t.co/gyKOwtx4w0",Check out the Photo of the Week  10 by Ashiq,1237373408276434945,surprise,Tue Mar 10 13:43:04 +0000 2020
"Meet @MeaghanLoftus4, one of @CT3Education's #amazing associates transforming education: https://t.co/9g5Y0eEsig https://t.co/HM6BbfABq0","Meet , one of s  amazing associates transforming education :",1237370348661665793,surprise,Tue Mar 10 13:30:55 +0000 2020
@rtphokie Stunning picture!!! #SuperMoon #SuperTuesdayResults #SuperMoon3020 #amazing,Stunning picture ! ! !,1237370300104208390,surprise,Tue Mar 10 13:30:43 +0000 2020
"I take a thorough care of my body. I am constantly massaged up. In other words I cherish it 
 #eagles #amazing https://t.co/PsY3PjHuRn",I take a thorough care of my body . I am constantly massaged up . In other words I cherish it,1237368664871100416,surprise,Tue Mar 10 13:24:13 +0000 2020
"Wish You all a Wonderful, Colorful and Musicful Holi With Super Duper Hit Song.📢📢🎶
Loca : YO YO HONEY SINGH 
@asliyoyo #LOCA #iamloca #locachallenge 
#Holi #Holi2020 #HoliFestival #dishameena #YoYoHoneySingh #locasong #Dance #dancers #yoyonewsong #amazing #kota https://t.co/6bB5kiHhqN","Wish You all a Wonderful , Colorful and Musicful Holi With Super Duper Hit Song.📢📢🎶 Loca : YO YO HONEY SINGH",1237368216021651461,surprise,Tue Mar 10 13:22:26 +0000 2020
"#hardwork... #focus... carry on... 
Always #aim for the best #results!
Good morning, everyone!
.
.
#igotmaloned #amazing #photooftheday #transformationtuesday #transformation #transform #fitness #fitspiration #fitnessjourney https://t.co/dxPLP9vjaL"," hardwork ...  focus ... carry on ... Always  aim for the best  results ! Good morning , everyone ! . .",1237367472241512448,surprise,Tue Mar 10 13:19:29 +0000 2020
"If ever in #Lincoln #Nebraska , #I #Highly #Recommend thenightbeforelounge #ThankYou #again #Queens... #All #Beautiful with #Amazing #Personalities... #👀 #👍

lincolnnebraskausa 
huskers… https://t.co/8e9m7jBgWo","If ever in  Lincoln  Nebraska ,  I  Highly  Recommend thenightbeforelounge  ThankYou  again  Queens ...  All  Beautiful with  Amazing  Personalities ...  👀  👍 lincolnnebraskausa huskers…",1237367464356347907,surprise,Tue Mar 10 13:19:27 +0000 2020
@motel6 Yonna is doing #thebestjob this #morning #thanks for being #amazing #bestsmile,Yonna is doing  thebestjob this  morning  thanks for being,1237367341672837124,surprise,Tue Mar 10 13:18:58 +0000 2020
#amazing #instamood Women's Elegant Square Cut Engagement Rings https://t.co/4SgefstBoQ https://t.co/LIDBbdY7Lb, amazing  instamood Women s Elegant Square Cut Engagement Rings,1237366867582423045,surprise,Tue Mar 10 13:17:05 +0000 2020
"RT @NiceBoyKimo: Hong Kong Victoria harbour, city never sleeps.

#amazing #cityscape https://t.co/hnkMRpu7vy","Hong Kong Victoria harbour , city never sleeps .",1237366580478173184,surprise,Tue Mar 10 13:15:56 +0000 2020
#amazing #instamood Women's Polyester Elegant Office Jumpsuit https://t.co/no7nFBg7v5 https://t.co/IzlTfp9Pc0, amazing  instamood Women s Polyester Elegant Office Jumpsuit,1237365023095304193,surprise,Tue Mar 10 13:09:45 +0000 2020
#amazing #instamood Business Styled Quartz Watches for Men with Stainless Steel Strap https://t.co/jfFOyKPLit https://t.co/HVrWGMtOtC, amazing  instamood Business Styled Quartz Watches for Men with Stainless Steel Strap,1237364693481766913,surprise,Tue Mar 10 13:08:26 +0000 2020
"RT @elygoya: Our #amazing project @PROTECTED_ITN is heading to an end this 2020, we are inviting to all the people interested in #Endocrine…","Our  amazing project is heading to an end this 2020 , we are inviting to all the people interested in  Endocrine…",1237364276567969792,surprise,Tue Mar 10 13:06:47 +0000 2020
#life #getoutside #amazing Foldable Plastic Makeup Organizers https://t.co/lLijT2VV2e https://t.co/YjfUkC89hq, life  getoutside  amazing Foldable Plastic Makeup Organizers,1237363855954718721,surprise,Tue Mar 10 13:05:07 +0000 2020
The light sent to save our souls tells us to be the light in the world we encounter today!!! #amazing #faces  https://t.co/QaZnhOazUt https://t.co/7m7yVLsWBI,The light sent to save our souls tells us to be the light in the world we encounter today ! ! !,1237363306131791873,surprise,Tue Mar 10 13:02:55 +0000 2020
Check out this amazing #transformationtuesday from Long Island Poolscapes WOW! What an amazing patio transformation! 👍🏼 #transformation #amazing #homerenovation #yes https://t.co/kWzKRZihJA,Check out this amazing  transformationtuesday from Long Island Poolscapes WOW ! What an amazing patio transformation ! 👍🏼,1237362602193321984,surprise,Tue Mar 10 13:00:08 +0000 2020
"RT @CTag25: _Keith Jarrett 🌻🎶🎵

_Be My Love 🎶🌸🌹

https://t.co/IsQiOrQCYf #9Marzo #Music #Piano #Jazz #amazing 🌼 https://t.co/a69K5NLIwl",Keith Jarrett 🌻🎶🎵 Be My Love 🎶🌸🌹  9Marzo  Music  Piano  Jazz  amazing 🌼,1237362130359406597,surprise,Tue Mar 10 12:58:15 +0000 2020
"DOOM Eternal | SAVE 37% on PC #DOOMEternal #DOOM #Gameplay #Walkthrough #awesome #amazing #game #letsplay #smile #nerd #geek #gaming #streaming #youtube #youtubegaming #LetsPlay #Mixer @TwitterGaming @DOOM 

https://t.co/qAjBwWaU04",DOOM Eternal  SAVE 37  on PC,1237361952671895552,surprise,Tue Mar 10 12:57:33 +0000 2020
Women's Shanti Crystal Bracelet #amazing #instamood https://t.co/8BLea8TSyo https://t.co/4GtJ1hYr9b,Women s Shanti Crystal Bracelet,1237361917360046080,surprise,Tue Mar 10 12:57:24 +0000 2020
RT @JaneJwang: Sharing the #myths and #realities of startup journey with an #amazing international women’s day line up! &lt;3 the community @T…,Sharing the  myths and  realities of startup journey with an  amazing international women ’ s day line up !  lt ; 3 the community …,1237361704381689857,surprise,Tue Mar 10 12:56:34 +0000 2020
Check out my Gig on Fiverr: create 5 #amazing #video #intro #logo #animations https://t.co/867WFcXxfZ,Check out my Gig on Fiverr : create 5,1237359702498889731,surprise,Tue Mar 10 12:48:36 +0000 2020
#amazing #sports Travel Storage Organizer Set https://t.co/6XDNZVXQBM https://t.co/SABiAYgwh6, amazing  sports Travel Storage Organizer Set,1237359349548437504,surprise,Tue Mar 10 12:47:12 +0000 2020
"Hi there,
You need a Graphic designer.  I am an expert #photo #editor, #backgroundremove, #photoretouch and #amazing service. 
""📸
I will be happy to help you.
see you my portfolio; https://t.co/OcTno79eOJ
contacts me
https://t.co/i2jR7pMpZB
thank https://t.co/bHj4JHttgo","Hi there , You need a Graphic designer . I am an expert  photo  editor ,  backgroundremove ,  photoretouch and  amazing service .  📸 I will be happy to help you . see you my portfolio ; contacts me thank",1237358843316690944,surprise,Tue Mar 10 12:45:11 +0000 2020
"RT @MidtownComics: #WomensMonth is here, and there is a TON of #amazing #women in #comics behind the scenes of some the best #comicbooks ou…"," WomensMonth is here , and there is a TON of  amazing  women in  comics behind the scenes of some the best  comicbooks ou…",1237357680538390529,surprise,Tue Mar 10 12:40:34 +0000 2020
#life #getoutside #amazing Wine Bottle Opener with Wood Handle https://t.co/wSj9wKfwEd https://t.co/TumDUzjIYy, life  getoutside  amazing Wine Bottle Opener with Wood Handle,1237357672342716416,surprise,Tue Mar 10 12:40:32 +0000 2020
"Try this 👇! Happy Holi! #amazing  #Holi2020
#HappyHoli
https://t.co/mwcAvb5Il2",Try this 👇 ! Happy Holi !,1237354677949222919,surprise,Tue Mar 10 12:28:38 +0000 2020
RT @Express_Present: #amazing #gift4you Folding Creative Printed Polyester Umbrella https://t.co/HlPsyVAQJW, amazing  gift4you Folding Creative Printed Polyester Umbrella,1237353101931266049,surprise,Tue Mar 10 12:22:23 +0000 2020
"Did you know the streets of #Brussels are paved with lovely Belgian blue #limestone? Looks #amazing is #durable and has a #lowcarbon footprint. 
See https://t.co/hbjTHT8HNt for more uses &amp; ideas, contact us info@t-estone.co.uk or 020 8243 8905 https://t.co/iF8dBUS73R","Did you know the streets of  Brussels are paved with lovely Belgian blue  limestone ? Looks  amazing is  durable and has a  lowcarbon footprint . See for more uses  amp ; ideas , contact us infoestone.co.uk or 020 8243 8905",1237352754479128576,surprise,Tue Mar 10 12:21:00 +0000 2020
"Who else listens to blindin’ lights a lot? I’m not comfortable with drawing normal faces on general and the last two tweets were a learning experience. Well, hope you guys like this one #art #cartoonart #amazing #posterart #artwork #blindinglights #Singer #ArtistOnTwitter https://t.co/y08TgKUoVQ","Who else listens to blindin ’ lights a lot ? I am not comfortable with drawing normal faces on general and the last two tweets were a learning experience . Well , hope you guys like this one",1237352037165096960,surprise,Tue Mar 10 12:18:09 +0000 2020
#amazing #music Baby Girl’s Cotton Clothing Set https://t.co/CEaavi90Gi https://t.co/a7J2H6CCSP, amazing  music Baby Girl ’ s Cotton Clothing Set,1237350762440777730,surprise,Tue Mar 10 12:13:05 +0000 2020
"Today is #InternationalDayOfAwesomeness 

We’re celebrating our awesomeness for picking ourselves up after a major setback last year &amp; bringing forth some great opportunities for ourselves &amp; other businesses this year!

Are you celebrating

Ursula &amp; Alexis 💕
#awesome #amazing https://t.co/NjycX2PSjt",Today is we are celebrating our awesomeness for picking ourselves up after a major setback last year  amp ; bringing forth some great opportunities for ourselves  amp ; other businesses this year ! Are you celebrating Ursula  amp ; Alexis 💕,1237350492570890240,surprise,Tue Mar 10 12:12:00 +0000 2020
"RT @SamuelButtner1: @an_artnews @ARTnewsmag actually:

""Oa51s_homageCYF"" 

#title of an #amazing work of #conceptualart 

.",actually :  Oa51shomageCYF   title of an  amazing work of .,1237348462766817283,surprise,Tue Mar 10 12:03:57 +0000 2020
I'm off work with a heavy cold so my next 2 hours will be spent watching #JapaneseFP2008 &amp; #TheMan was leading the  championship. They're just showing him winning in the rain 2007 #amazing,I am off work with a heavy cold so my next 2 hours will be spent watching  JapaneseFP2008  amp ;  TheMan was leading the championship . they are just showing him winning in the rain 2007,1237347548748185600,surprise,Tue Mar 10 12:00:19 +0000 2020
"(Source unknown)
.
.
.
#hummingbird #beautiful #amazing #theknitpotato #knittingwithlove #knittingproject 
#knithappens #knittingdesign #knittingmakesmehappy #instayarn #instalove #shareyourknits #instaknit… https://t.co/SEl03Pd8ZQ", Source unknown  . . .  knithappens  knittingdesign  knittingmakesmehappy  instayarn  instalove  shareyourknits  instaknit…,1237347278140182529,surprise,Tue Mar 10 11:59:14 +0000 2020
Check out our website to see some of the fabulous garage doors we have. Give us a call to talk through all your needs with one of our specialist sales people on 0800 404 8011. #sale #garagedoor #garagedoorsale #home #diy #amazing #president #cardale #spare https://t.co/H0MEJw3wCW,Check out our website to see some of the fabulous garage doors we have . Give us a call to talk through all your needs with one of our specialist sales people on 0800 404 8011 .,1237345665862295552,surprise,Tue Mar 10 11:52:50 +0000 2020
Art for the Eyes! https://t.co/KW8lp9SDlD #artwork #photography #photograph #artistry #decor #decorate #design #amazing #artlover https://t.co/KwsDO5E6kI,Art for the Eyes !,1237345466511171584,surprise,Tue Mar 10 11:52:02 +0000 2020
#amazing #gift4you Bamboo Ball Pen (MD-9485) https://t.co/AMZi5fr7LB https://t.co/WK5CQmgPk0, amazing  gift4you Bamboo Ball Pen  MD9485 ,1237344089370222592,surprise,Tue Mar 10 11:46:34 +0000 2020
"Absolutely fantastic this, so bright and different a lot of hard work has gone into this #amazing  really well done 👍🏻 https://t.co/icK4hIOEbY","Absolutely fantastic this , so bright and different a lot of hard work has gone into this  amazing really well done 👍🏻",1237342936905515008,surprise,Tue Mar 10 11:41:59 +0000 2020
#life #getoutside #amazing Cotton Summer Thin Breathable Men's Socks 6 Pairs https://t.co/KnSNTw9tlz https://t.co/WAP6vCRjtb, life  getoutside  amazing Cotton Summer Thin Breathable Men s Socks 6 Pairs,1237339597165690881,surprise,Tue Mar 10 11:28:43 +0000 2020
@TAbyssinian @MeekMill Exactly! #Jamaica changed me. Tipping wasn’t allowed at the resort where I stayed but I toked $20 bills to everyone who worked there on the DL.  Then I ventured into the Mountains and outside the resorts. Forever grateful to my core. #jamaicans = #amazing #humans #jahlove,Exactly !  Jamaica changed me . Tipping was not allowed at the resort where I stayed but I toked  20 bills to everyone who worked there on the DL . Then I ventured into the Mountains and outside the resorts . Forever grateful to my core .  jamaicans ,1237338087392329728,surprise,Tue Mar 10 11:22:43 +0000 2020
