_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey:confidence,tweet_emotion,tweet_id,tweet_text,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold
2687400298,false,finalized,5,3/14/2020 15:51:52,5,0.6,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400299,false,finalized,5,3/14/2020 16:49:02,6,0.2,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400300,false,finalized,5,3/14/2020 14:54:38,5,0.6,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2687400301,false,finalized,5,3/14/2020 14:54:38,2,0.8,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2687400302,false,finalized,5,3/14/2020 14:56:37,5,0.8,fear,1236686686500732928,"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",
2687400303,false,finalized,5,3/14/2020 14:21:42,5,0.4,fear,1236678661106888704,"You  win some , you  lose some , you  fear some .",
2687400304,false,finalized,5,3/14/2020 16:49:02,5,0.6,fear,1236485607993405440,What if you could face  challenges with less  fear  amp ;  insecurities ? What is your  selfconfidence based on ?,
2687400305,false,finalized,5,3/14/2020 14:54:38,5,0.8,fear,1236607756066590720,"Dark Mind  A short , disturbing , instrumental horror track .  horror  thriller  terror  film  theat…",
2687400306,false,finalized,5,3/14/2020 15:51:52,3,0.4,fear,1236732103741620226,But have you actually tried just taking a bath ? ,
2687400307,false,finalized,5,3/14/2020 15:05:32,5,0.6,fear,1236521223502401539,let us GET THIS SHIZZ ROLLIN  ! ! !  twitchaffiliate  gruntstyle  Twitch  fearclan  fear  USMC  supportsmallstreamers  supports…,
2687400308,false,finalized,5,3/14/2020 15:20:26,5,0.4,fear,1236487604004143105," I learned that courage was not the absence of fear , but the triumph over it . The brave man is not he who does not feel afraid , but he who conquers that fear .  Nelson Mandela quotes  fear  triumph success",
2687400309,false,finalized,5,3/14/2020 15:53:17,6,0.4,fear,1236541783590547456, Permission to  fail is the concept that I developed and believed for long now because I think it is more effective way towards success . One has to let go of  fear of being a  failure in order to become  successful . Failure is a step closer to success .,
2687400310,false,finalized,5,3/14/2020 14:48:18,5,0.8,fear,1236693837227188227,Dreaded Tales : A Short  Horror Story Collection  paranormal 👻  psychological  fear 😱  slasher 🔪  zombies 🧟‍♂️🧟‍♀️  superna…,
2687400311,false,finalized,5,3/14/2020 14:56:37,5,0.8,fear,1236679720307175426,The Latest : Mideast stock markets sharply drop on  virus  fear  Mar 8  11:44 AM ET,
2687400312,false,finalized,5,3/14/2020 15:53:17,4,0.8,fear,1236633900916584450,"“ What I came to realize is that fear , that is the worst of it . that is the real enemy . So , get up , get out in the real world and you kick that bastard as hard you can right in the teeth. ”  Walter White .",
2687400313,false,finalized,5,3/14/2020 15:50:32,4,0.6,fear,1236456308938686464," Australia  amp ;  USA .. unhealthy selfish societies ⤵️ Ugly  hate  amp ;  Fear from  media , Governments  amp ; here we are .  auspol…",
2687400314,false,finalized,5,3/14/2020 15:23:17,5,0.8,fear,1236652580928925696," COVID19 will not kill us , but",
2687400315,false,finalized,5,3/14/2020 15:23:04,2,0.4,fear,1236724941212585985,"📣 New Podcast !  Q  amp ; A  8  Curveball Efficiency , Should You Do Driveline , Velo Reads on a Budget  More  on",
2687400316,false,finalized,5,3/14/2020 15:20:47,5,0.6,fear,1236684116571099138, fear is fucked up !  spirit is REAL,
2687400317,false,finalized,5,3/14/2020 15:51:50,2,1.0,fear,1236674725826506752,"Okay . Normal . Living with most Welcome to my world ,",
2687400318,false,finalized,5,3/14/2020 14:21:42,1,0.8,happy,1236018521836052480,Fridaycuckoo mood .,
2687400319,false,finalized,5,3/14/2020 15:05:32,2,0.4,happy,1237062388651827200,Major throwback ... missing those days .  peace  love  life  nature  happiness  photography  meditation  art  joy  instagood  happy  god  faith  music  hope  instagram  travel  yoga  freedom  motivation  inspiration…,
2687400320,false,finalized,5,3/14/2020 15:50:32,5,0.6,happy,1238578982926405632,Smaller churches face bigger problems .  Image credit : Saul LoebAFP via Getty Images ,
2687400321,false,finalized,5,3/14/2020 15:29:47,4,0.6,happy,1235171802869006337,let us keep it pushing,
2687400322,false,finalized,5,3/14/2020 15:05:32,2,0.8,happy,1236755483991605249,"A true friend stay forever beyond words , distance , time .  love  royal  unconditional  joy  happiness  nature  travel  twitt…",
2687400323,false,finalized,5,3/14/2020 15:17:48,1,1.0,happy,1235921043145060353,Just a Happy doggy and an open field ❤️,
2687400324,false,finalized,5,3/14/2020 15:49:15,2,0.8,happy,1234144985051729921,Good night 🌃,
2687400325,false,finalized,5,3/14/2020 14:53:07,2,0.8,happy,1238543908914835456,Thought of the day  good thought,
2687400326,false,finalized,5,3/14/2020 14:21:19,1,0.6,happy,1236997812895789058,Gm folks  blessings  love  blessed  god  faith  peace  life  happiness  grateful  family  gratitude  jesus  motivation  thankful  happy  prayer  joy  inspiration  positivevibes  happynewyear  godisgood  pray…,
2687400327,false,finalized,5,3/14/2020 15:49:15,2,0.8,happy,1236218728892809221,Very nice presentation last nite Fola with Herlin Riley ’ s cousin Mister James Andrews the brother of “ …,
2687400328,false,finalized,5,3/14/2020 15:20:26,2,0.8,happy,1238555598024736776," peter  mccormack ,  host of  “ what  bitcoin  did , ”  discusses what makes a",
2687400329,false,finalized,5,3/14/2020 15:29:54,1,1.0,happy,1234066435531395073,"La multi ani de  martisor 💐Sa aveti o primavara minunata ! Happy  springtime 🦋 In Romania we celebrate the beginning of  springtime today , when the nature blossoms it is",
2687400330,false,finalized,5,3/14/2020 15:29:47,2,0.6,happy,1235233874059440128,CLINK ! Connect with people with similar journeys as you ! Join our support group ! Log into Facebook  Facebook,
