worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
6342275,2118004,0,0,0,0,clixsense,,,,,,,0,,1.0,0
11582908,4504821,0,0,0,0,clixsense,,,,,,,0,,1.0,0
15358816,4965284,0,0,0,0,clixsense,,,,,,,0,,1.0,0
17327401,5267355,0,0,0,0,clixsense,,,,,,,0,,1.0,0
19304131,516CCC25B66F084441A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0
24043308,81654,5,1,5,0,gifthunterclub,GBR,"","",185.205.206.2,,,0,,0.8,0
28173416,6528740,0,0,0,0,clixsense,,,,,,,0,,1.0,0
28785603,6612029,0,0,0,0,clixsense,,,,,,,0,,1.0,0
28786138,6612107,0,0,0,0,clixsense,,,,,,,0,,1.0,0
29732909,6668312,0,0,0,0,clixsense,,,,,,,0,,1.0,0
30751370,3C4C2C346E8668936964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0
31222228,7120177,10,0,6,0,clixsense,IND,40,Hyderabad,124.123.75.74,,,0,,1.0,300
32040320,castoro,0,0,0,0,instagc,,,,,,,0,,1.0,0
32658595,7037298,0,0,0,0,clixsense,,,,,,,0,,1.0,0
33256761,D993B6AE593A0E11BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0
33519110,03B19902BEFD797093CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0
35122844,8240958,0,0,0,0,clixsense,,,,,,,0,,1.0,0
35603485,47ABBD26439EF0955213CA1A0E82036F,0,0,0,0,neodev,,,,,,,0,,1.0,0
36181479,8632537,4,0,0,0,clixsense,RUS,71,Yekaterinburg,213.191.27.161,,,0,,1.0,240
38419350,9408851,0,0,0,0,clixsense,,,,,,,0,,1.0,0
38575223,8AC39A6F5BFD5F9B5213CA1A0E82036F,0,0,0,0,neodev,,,,,,,0,,1.0,0
39759810,981050482DD957D6F063FCF4079B2070,0,0,0,0,neodev,,,,,,,0,,1.0,0
39773483,9825478,0,0,0,0,clixsense,,,,,,,0,,1.0,0
40214263,B60BF8D5D63215183A7EF6E57C5562DE,15,0,0,0,neodev,UKR,25,Uzhgorod,194.44.151.213,,,0,,1.0,300
