worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
21628557,5DA301F4751485B9044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
31222228,7120177,5,1,5,0,clixsense,IND,40,Hyderabad,124.123.75.74,,,0,,0.8,0
33256761,D993B6AE593A0E11BD9CE4BD64DFB8C1,15,1,7,0,neodev,VEN,25,Caracas,186.90.25.52,,,0,,0.8571,300
33519110,03B19902BEFD797093CA06397A287A80,5,3,5,0,neodev,VEN,15,Aragüita,190.77.54.27,,,0,,0.4,300
34765129,8147753,10,0,6,0,clixsense,UKR,25,Uzhgorod,37.52.140.161,,,0,,1.0,300
35221409,8302628,0,0,0,0,clixsense,,,,,,,0,,1.0,0
36242343,3421603,0,0,0,0,clixsense,,,,,,,0,,1.0,0
38436499,AAED689DBB3FA9AD008D8D1D7EF00A28,0,0,0,0,neodev,,,,,,,0,,1.0,0
38661505,F3148CA8F186D8753C3F520A53732EBF,5,0,5,0,neodev,VEN,19,Agua Fría,181.34.57.23,,,0,,1.0,0
38762820,2945BA3EA6EEA7DBC338D6D1E28E12C0,0,0,0,0,neodev,,,,,,,0,,1.0,0
39111551,52399D3A4FDD3DB809A3246400FC988C,15,1,7,0,neodev,RUS,54,Omsk,92.124.141.76,,,0,,0.8571,450
39759810,981050482DD957D6F063FCF4079B2070,0,0,0,0,neodev,,,,,,,0,,1.0,0
40196184,9A13FB43B4C0BDCEC72447F05A7256A4,25,2,9,0,neodev,MKD,E2,Ohrid,79.141.127.41,,,0,,0.7778,500
40844612,D90A7C8DC8F1CA37B2BF0A8E0CA6A523,5,1,5,0,neodev,TUR,58,Sivas,78.188.24.86,,,0,,0.8,300
41436427,D33BB7CF72FBAFEAAA5E3A041481982C,0,0,0,0,neodev,,,,,,,0,,1.0,0
42488337,10865508,5,0,5,0,clixsense,TUR,71,Konya,94.120.49.218,,,0,,1.0,300
42999860,B230C8AFBD39F69313B45070835AF903,0,0,0,0,neodev,,,,,,,0,,1.0,0
43145260,11091412,0,0,0,0,clixsense,,,,,,,0,,1.0,0
43340806,5743CA1996AF79C113B45070835AF903,0,0,0,0,neodev,,,,,,,0,,1.0,0
43514164,4F336690D46AE24E0CAD5F2CDE485D23,5,0,5,0,neodev,VEN,04,Maracay,201.208.16.141,,,0,,1.0,0
43636927,AB4E7D59DD78A9DBB6CB1911CE467178,5,1,5,0,neodev,COL,21,Cucuta,181.57.75.65,,,0,,0.8,0
43644467,44AED49414533E2D8D7FCC5998E70925,0,0,0,0,neodev,,,,,,,0,,1.0,0
43649248,11433511,0,0,0,0,clixsense,,,,,,,0,,1.0,0
43650017,6BA6C23B355BE41E1C4225EF31E8C1E3,15,0,7,0,neodev,VEN,25,Caracas,186.89.16.215,,,0,,1.0,300
43661460,851C35AF2BB6847A5A177E0B4883CD7E,5,1,5,0,neodev,VEN,25,Caracas,190.198.90.224,,,0,,0.8,300
43726491,11578457,5,2,5,0,clixsense,UKR,09,Khmelnitskiy,188.163.33.27,,,0,,0.6,0
43765666,E868762DF89310B1008D8D1D7EF00A28,5,0,5,0,neodev,VEN,07,Valencia,201.243.201.113,,,0,,1.0,0
43890356,CA9EB98547BEA339514FB4CA2928E334,0,0,0,0,neodev,,,,,,,0,,1.0,0
43937503,F62EA19E070C11B8B54F3332206396E9,5,1,5,0,neodev,VEN,25,Caracas,186.167.251.16,,,0,,0.8,300
43953345,12002745,0,0,0,0,clixsense,,,,,,,0,,1.0,0
43988022,12058564,5,2,5,0,clixsense,UKR,14,Bryanka,195.3.134.75,,,0,,0.6,300
44023714,3DB0EBE2B41E95E6BE2CB08758655D00,0,0,0,0,neodev,,,,,,,0,,1.0,0
44027106,12122826,0,0,0,0,clixsense,,,,,,,0,,1.0,0
44031495,12129694,0,0,0,0,clixsense,,,,,,,0,,1.0,0
44055494,BB882BACE5B245D30838C9B4A7C5B92A,0,0,0,0,neodev,,,,,,,0,,1.0,0
44073667,21423B5CBCF66D5A498878444F81137D,5,2,5,0,neodev,VEN,25,Caracas,201.209.237.86,,,0,,0.6,0
44081843,0A47BC9E17BFB0B5C72447F05A7256A4,0,0,0,0,neodev,,,,,,,0,,1.0,0
44082071,17568D77A96948F0204CFC72B9696897,5,1,5,0,neodev,VEN,20,San Cristóbal,201.208.48.75,,,0,,0.8,0
44112574,EB52D5D2309BFB596B390050D52FDAD3,15,2,7,0,neodev,VEN,13,Agua Viva,181.208.120.233,,,0,,0.7143,300
44112921,12263142,5,2,5,0,clixsense,TUR,58,Sivas,78.188.24.86,,,0,,0.6,0
44135638,76B461DCE4953C20228BDA32B94EEF9C,10,2,6,0,neodev,VEN,11,Amparo,190.97.240.105,,,0,,0.6667,300
44144587,9F5A0BEE5E2908480CAD5F2CDE485D23,0,0,0,0,neodev,,,,,,,0,,1.0,0
44164525,4AFB389FCA07BEABD484BCC6EFBF03F5,0,0,0,0,neodev,,,,,,,0,,1.0,0
44193194,5871B99029A6AE68667AD9B74FE239D0,0,0,0,0,neodev,,,,,,,0,,1.0,0
44205552,E7D35905BDE6BDF7472838DCC118E03B,0,0,0,0,neodev,,,,,,,0,,1.0,0
44219383,91FA2EF06D4778BCFD55B23693B99944,10,0,6,0,neodev,VEN,04,Santa Cruz,190.198.7.122,,,0,,1.0,300
44222862,6ED2B421E5C4E2560CAD5F2CDE485D23,0,0,0,0,neodev,,,,,,,0,,1.0,0
44249295,12451153,15,1,7,0,clixsense,TUR,38,Kayseri,88.230.27.112,,,0,,0.8571,300
44282086,8B9DFECC9EA7AAACCE3844F281772807,0,0,0,0,neodev,,,,,,,0,,1.0,0
44311593,B0778F9AB249AF7E0CAD5F2CDE485D23,20,1,8,0,neodev,VEN,25,Caracas,190.142.253.189,,,0,,0.875,300
44322809,E1EEEBAD7447D7ADD484BCC6EFBF03F5,15,2,7,0,neodev,VEN,12,Altagracia De Orituco,190.206.221.211,,,0,,0.7143,300
44324141,95DFC8FFB45275AF494FC5F3416EDE71,5,0,5,0,neodev,UKR,25,Uzhgorod,194.44.151.213,,,0,,1.0,300
44344153,7AEB20C2BB72D816AA86FF6CD252D13D,0,0,0,0,neodev,,,,,,,0,,1.0,0
44380897,B40FDC8391F140EB8D7FCC5998E70925,15,2,7,0,neodev,VEN,04,Maracay,190.38.40.246,,,0,,0.7143,450
44392447,45BF709DE1940FB9204CFC72B9696897,5,2,5,0,neodev,VEN,19,Altagracia,190.75.30.210,,,0,,0.6,0
44393659,6F032C7E3C4577BDF9D662152EE91CFF,0,0,0,0,neodev,,,,,,,0,,1.0,0
44403422,398756B9C1B9A2CADEC62BDF2B4C9E80,10,1,6,0,neodev,VEN,07,Guacara,186.89.109.185,,,0,,0.8333,300
44461098,12848119,5,1,5,0,clixsense,VEN,25,Caracas,186.167.243.62,,,0,,0.8,0
44535159,12993059,0,0,0,0,clixsense,,,,,,,0,,1.0,0
44537782,F1603CB26ED104396E334AF42C1D2A3F,0,0,0,0,neodev,,,,,,,0,,1.0,0
44577724,78E06E9E105AC0BB4B7AEA85440565A3,5,1,5,0,neodev,PER,08,Cusco,179.6.34.25,,,0,,0.8,0
44591122,13108882,5,3,5,0,clixsense,UKR,04,Pyatikhatki,91.227.150.17,,,0,,0.4,300
44777891,B27BA5223E9A56D387D9602DE7E4D81B,5,0,5,0,neodev,VEN,25,Caracas,190.38.147.52,,,0,,1.0,300
44812982,13554142,45,2,13,0,clixsense,TUR,71,Konya,176.240.100.89,,,0,,0.8462,675
44816080,13558764,10,1,6,0,clixsense,TUR,38,Kayseri,88.247.158.222,,,0,,0.8333,300
44833585,E115A04F41DA10A5E072395DC2023399,5,1,5,0,neodev,VEN,07,Valencia,201.249.21.60,,,0,,0.8,0
44857692,13631472,0,0,0,0,clixsense,,,,,,,0,,1.0,0
44862947,538CF3794BCC14B9DEF77F94FE295A6E,25,3,9,0,neodev,VEN,04,Maracay,190.206.39.35,,,0,,0.6667,300
44911583,AF33FF42F97F14E53A7EF6E57C5562DE,0,0,0,0,neodev,,,,,,,0,,1.0,0
44922586,13777342,5,0,5,0,clixsense,UKR,03,Chernivtsi,176.120.43.224,,,0,,1.0,0
44978906,13899540,0,0,0,0,clixsense,,,,,,,0,,1.0,0
44980817,B6F82F34E780F6DB6B390050D52FDAD3,0,0,0,0,neodev,,,,,,,0,,1.0,0
44991975,C5D6392854EC11E316C8E61001D64B85,5,0,5,0,neodev,VEN,25,Caracas,186.167.245.148,,,0,,1.0,0
45011048,CBBC2027F8D520FF8FB2D67A827566BC,0,0,0,0,neodev,,,,,,,0,,1.0,0
45024159,14002892,15,0,7,0,clixsense,TUR,68,Ankara,176.43.216.218,,,0,,1.0,450
45029834,14016530,0,0,0,0,clixsense,,,,,,,0,,1.0,0
45048956,4B9FFD01870061D9E0F410E778370DBC,5,2,5,0,neodev,VEN,15,Aragüita,190.153.32.64,,,0,,0.6,300
45053499,14075343,0,0,0,0,clixsense,,,,,,,0,,1.0,0
45053577,14075571,0,0,0,0,clixsense,,,,,,,0,,1.0,0
45065368,14109086,0,0,0,0,clixsense,,,,,,,0,,1.0,0
45068351,14117366,5,3,5,0,clixsense,VEN,25,Caracas,190.37.29.57,,,0,,0.4,0
45070009,36E011A1107B556CBACEFE911F27E775,5,1,5,0,neodev,VEN,07,Valencia,200.109.18.207,,,0,,0.8,0
45071653,14129598,5,1,5,0,clixsense,VEN,07,Valencia,186.185.149.159,,,0,,0.8,300
45101169,4EA355BE7EF5B1E02EFD2A28AE2C3FB7,0,0,0,0,neodev,,,,,,,0,,1.0,0
45103225,626CAC28750EFED70CAD5F2CDE485D23,5,3,5,0,neodev,VEN,18,Acarigua,200.84.97.247,,,0,,0.4,300
